x,y,z,t
0.279221,-0.127038,0.036733,5.02
0.280124,-0.1245,0.0367418,5.03
0.281002,-0.121948,0.0367504,5.04
0.281854,-0.119382,0.0367589,5.05
0.28268,-0.116802,0.0367673,5.06
0.283481,-0.114209,0.0367755,5.07
0.284255,-0.111602,0.0367835,5.08
0.285003,-0.108983,0.0367914,5.09
0.285725,-0.106351,0.0367992,5.1
0.286421,-0.103706,0.0368068,5.11
0.28709,-0.10105,0.0368142,5.12
0.287732,-0.0983809,0.0368215,5.13
0.288348,-0.0957004,0.0368286,5.14
0.288936,-0.0930083,0.0368356,5.15
0.289498,-0.0903049,0.0368424,5.16
0.290033,-0.0875906,0.036849,5.17
0.29054,-0.0848654,0.0368555,5.18
0.29102,-0.0821297,0.0368618,5.19
0.291473,-0.0793838,0.036868,5.2
0.291898,-0.0766278,0.036874,5.21
0.292295,-0.0738621,0.0368798,5.22
0.292665,-0.0710869,0.0368854,5.23
0.293007,-0.0683024,0.0368909,5.24
0.293321,-0.0655089,0.0368962,5.25
0.293608,-0.0627067,0.0369014,5.26
0.293866,-0.0598961,0.0369063,5.27
0.294095,-0.0570772,0.0369111,5.28
0.294297,-0.0542504,0.0369157,5.29
0.294471,-0.051416,0.0369202,5.3
0.294615,-0.0485741,0.0369245,5.31
0.294732,-0.0457251,0.0369285,5.32
0.29482,-0.0428692,0.0369325,5.33
0.294879,-0.0400067,0.0369362,5.34
0.29491,-0.037138,0.0369397,5.35
0.294912,-0.0342631,0.0369431,5.36
0.294885,-0.0313825,0.0369463,5.37
0.29483,-0.0284965,0.0369493,5.38
0.294745,-0.0256052,0.0369521,5.39
0.294632,-0.0227089,0.0369548,5.4
0.294489,-0.019808,0.0369572,5.41
0.294318,-0.0169027,0.0369595,5.42
0.294117,-0.0139934,0.0369616,5.43
0.293887,-0.0110802,0.0369635,5.44
0.293629,-0.00816348,0.0369652,5.45
0.29334,-0.00524352,0.0369667,5.46
0.293023,-0.0023206,0.0369681,5.47
0.292677,0.00060499,0.0369692,5.48
0.292301,0.00353297,0.0369702,5.49
0.291896,0.00646304,0.0369709,5.5
0.291462,0.00939493,0.0369715,5.51
0.290998,0.0123283,0.0369719,5.52
0.290505,0.015263,0.0369721,5.53
0.289983,0.0181985,0.0369721,5.54
0.289431,0.0211348,0.0369719,5.55
0.28885,0.0240714,0.0369715,5.56
0.288239,0.027008,0.0369709,5.57
0.2876,0.0299444,0.0369701,5.58
0.286931,0.0328803,0.0369692,5.59
0.286232,0.0358154,0.036968,5.6
0.285504,0.0387493,0.0369666,5.61
0.284747,0.0416818,0.0369651,5.62
0.283961,0.0446127,0.0369633,5.63
0.283145,0.0475415,0.0369614,5.64
0.2823,0.050468,0.0369592,5.65
0.281425,0.053392,0.0369569,5.66
0.280522,0.056313,0.0369544,5.67
0.279589,0.0592309,0.0369516,5.68
0.278628,0.0621452,0.0369487,5.69
0.277637,0.0650558,0.0369456,5.7
0.276617,0.0679623,0.0369422,5.71
0.275568,0.0708643,0.0369387,5.72
0.274489,0.0737618,0.036935,5.73
0.273383,0.0766542,0.0369311,5.74
0.272247,0.0795413,0.036927,5.75
0.271082,0.0824229,0.0369227,5.76
0.269889,0.0852985,0.0369182,5.77
0.268666,0.088168,0.0369135,5.78
0.267416,0.091031,0.0369086,5.79
0.266136,0.0938872,0.0369035,5.8
0.264828,0.0967364,0.0368982,5.81
0.263492,0.0995781,0.0368927,5.82
0.262127,0.102412,0.0368871,5.83
0.260734,0.105238,0.0368812,5.84
0.259313,0.108056,0.0368751,5.85
0.257864,0.110865,0.0368689,5.86
0.256386,0.113666,0.0368624,5.87
0.254881,0.116457,0.0368558,5.88
0.253348,0.119239,0.0368489,5.89
0.251787,0.122011,0.0368419,5.9
0.250199,0.124772,0.0368347,5.91
0.248582,0.127524,0.0368272,5.92
0.246939,0.130265,0.0368196,5.93
0.245268,0.132995,0.0368118,5.94
0.24357,0.135713,0.0368039,5.95
0.241845,0.138421,0.0367957,5.96
0.240093,0.141116,0.0367873,5.97
0.238314,0.143799,0.0367788,5.98
0.236508,0.14647,0.03677,5.99
0.234675,0.149128,0.0367611,6
0.232817,0.151773,0.036752,6.01
0.230931,0.154405,0.0367427,6.02
0.22902,0.157023,0.0367332,6.03
0.227082,0.159627,0.0367235,6.04
0.225119,0.162217,0.0367137,6.05
0.22313,0.164793,0.0367037,6.06
0.221115,0.167353,0.0366934,6.07
